Genome	TARA_062-QUALITY_PASSED_R1.fastq.gz Read Count
GCA_902547755.1_AG-901-J11_genomic	31456
GCA_902522335.1_AG-895-A22_genomic	37033
GCA_018666055.1_ASM1866605v1_genomic	732
GCA_016778085.1_ASM1677808v1_genomic	15908
GCA_003331685.1_ASM333168v1_genomic	8643
GCA_028280635.1_ASM2828063v1_genomic	1470
GCA_902518075.1_AG-894-B10_genomic	48771
GCA_000227505.4_ASM22750v4_genomic	4399
GCA_902623175.1_AH-287-B15_genomic	52198
GCA_000158175.1_ASM15817v1_genomic	3338
GCA_024224435.1_ASM2422443v1_genomic	18804
GCA_030426545.1_ASM3042654v1_genomic	614
GCA_029287595.1_ASM2928759v1_genomic	1131
GCA_905480565.1_3_20180529_Bin_20180529_Bin_221_1_genomic	2702
GCA_029246385.1_ASM2924638v1_genomic	1896
GCA_002414665.1_ASM241466v1_genomic	960
GCA_029253085.1_ASM2925308v1_genomic	829
GCA_029253705.1_ASM2925370v1_genomic	420
GCA_029859085.1_ASM2985908v1_genomic	1668
GCA_029242325.1_ASM2924232v1_genomic	1259
GCA_002389505.1_ASM238950v1_genomic	742
GCA_947258585.1_ERZ12284426_genomic	1792
GCA_030427485.1_ASM3042748v1_genomic	1158
GCA_018666295.1_ASM1866629v1_genomic	467
GCA_030428835.1_ASM3042883v1_genomic	1561
GCA_002705465.1_ASM270546v1_genomic	57701
GCA_030431585.1_ASM3043158v1_genomic	946
GCA_029961695.1_dmAriCali1.0.hap2_genomic	167374
GCA_030433415.1_ASM3043341v1_genomic	3115
GCA_028823475.1_ASM2882347v1_genomic	354
GCA_029247075.1_ASM2924707v1_genomic	16617
GCA_030591305.1_ASM3059130v1_genomic	615
GCA_000423125.1_ASM42312v1_genomic	5420
GCA_030649675.1_ASM3064967v1_genomic	3310
GCA_030730585.1_ASM3073058v1_genomic	530
GCA_002683395.1_ASM268339v1_genomic	1412
GCA_035582765.1_UCONN_Acne_2_genomic	218614
GCA_002862985.1_ASM286298v1_genomic	449
GCA_018657645.1_ASM1865764v1_genomic	561
GCA_016779445.1_ASM1677944v1_genomic	1536
GCA_902519405.1_AG-333-E20_genomic	8348
GCA_016778045.1_ASM1677804v1_genomic	16926
GCA_902520195.1_AG-894-J17_genomic	222352
GCA_008370495.1_ASM837049v1_genomic	1703
GCA_902631395.1_AH-326-F22_genomic	12283
GCA_002428935.1_ASM242893v1_genomic	636
GCA_905478845.1_0.2_20180511_Bin_174_1_genomic	861
GCA_002699145.1_ASM269914v1_genomic	1784
GCA_905479205.1_0.2_20180524_Bin_119_sub_1_genomic	1058
GCA_002456975.1_ASM245697v1_genomic	858
GCA_913031575.1_ERR598978_bin.4_MetaBAT_v2.12.1_MAG_genomic	8023
GCA_002692965.1_ASM269296v1_genomic	3236
GCA_938091425.1_S4_Bin_Bin_207_sub_1_genomic	8566
GCA_002691565.1_ASM269156v1_genomic	3595
GCA_938091995.1_S4_Bin_METABAT_131_1_genomic	1481
GCA_002721785.1_ASM272178v1_genomic	27470
GCA_913048495.1_ERR599053_bin.87_MetaBAT_v2.12.1_MAG_genomic	51181
GCA_002748505.1_ASM274850v1_genomic	527
GCA_913056165.1_SRR4030075_bin.37_MetaBAT_v2.12.1_MAG_genomic	955
GCA_002862465.1_ASM286246v1_genomic	1068
GCA_913057135.1_SRR4030062_bin.3_MetaBAT_v2.12.1_MAG_genomic	24979
GCA_030427085.1_ASM3042708v1_genomic	7058
GCA_913064725.1_ERR2098371_bin.22_MetaBAT_v2.12.1_MAG_genomic	2038
GCA_002866825.1_ASM286682v1_genomic	1888
GCA_913062625.1_SRR5620817_bin.66_MetaBAT_v2.12.1_MAG_genomic	941
GCA_002868715.1_ASM286871v1_genomic	2445
GCA_913063005.1_ERR771004_bin.4_MetaBAT_v2.12.1_MAG_genomic	12893
GCA_003402235.1_ASM340223v1_genomic	3622
GCA_938045215.1_N2_Bin_Bin_145_1_genomic	507
GCA_938074045.1_S2_Bin_METABAT_101_1_genomic	2021
GCA_003646405.1_ASM364640v1_genomic	2425
GCA_938074135.1_S3_Bin_MAXBIN_098_sub_1_genomic	389
GCA_003646415.1_ASM364641v1_genomic	1382
GCA_938084055.1_S3_Bin_MAXBIN_084_1_genomic	444
GCA_009388985.1_ASM938898v1_genomic	2802
GCA_938085095.1_S3_Bin_Bin_3_sub_1_genomic	1200
GCA_009937575.1_ASM993757v1_genomic	621
GCA_938091485.1_S4_Bin_METABAT_204_1_genomic	2578
GCA_010669285.1_ASM1066928v1_genomic	3560
GCA_943787385.1_05052020-pm_METABAT_10_genomic	4630
GCA_012270045.1_ASM1227004v1_genomic	2813
GCA_943787485.1_05052020-am_METABAT_80_genomic	4016
GCA_013214285.1_ASM1321428v1_genomic	640
GCA_030427335.1_ASM3042733v1_genomic	4220
GCA_013911345.1_ASM1391134v1_genomic	3023
GCA_000158155.1_ASM15815v1_genomic	6145
GCA_016704305.1_ASM1670430v1_genomic	4802
GCA_000169115.1_ASM16911v1_genomic	5023
GCA_016744355.1_ASM1674435v1_genomic	1194
GCA_001983995.1_ASM198399v1_genomic	5707
GCA_017255185.1_ASM1725518v1_genomic	3927
GCA_000764025.1_ASM76402v1_genomic	6134
GCA_020443325.1_ASM2044332v1_genomic	516
GCA_003457605.1_ASM345760v1_genomic	3625
GCA_020443345.1_ASM2044334v1_genomic	782
GCA_003520285.1_ASM352028v1_genomic	1652
GCA_030066555.1_ASM3006655v1_genomic	1606
GCA_004340525.1_ASM434052v1_genomic	4595
GCA_020443425.1_ASM2044342v1_genomic	758
GCA_004354085.1_ASM435408v1_genomic	2229
GCA_022425845.1_ASM2242584v1_genomic	542
GCA_004745945.1_ASM474594v1_genomic	4330
GCA_023253715.1_ASM2325371v1_genomic	4976
GCA_008064665.1_ASM806466v1_genomic	2613
GCA_024234675.1_ASM2423467v1_genomic	2440
GCA_008081075.1_ASM808107v1_genomic	1920
GCA_024234735.1_ASM2423473v1_genomic	6178
GCA_009910365.1_ASM991036v1_genomic	4813
GCA_024234815.1_ASM2423481v1_genomic	3482
GCA_009937065.1_ASM993706v1_genomic	5897
GCA_024234855.1_ASM2423485v1_genomic	2469
GCA_014077625.1_ASM1407762v1_genomic	7343
GCA_024640505.1_ASM2464050v1_genomic	554
GCA_014652275.1_ASM1465227v1_genomic	7355
GCA_024642245.1_ASM2464224v1_genomic	581
GCA_018342035.1_IUB_Sapp_1.0_genomic	319958
GCA_024642265.1_ASM2464226v1_genomic	839
GCA_026710905.1_ASM2671090v1_genomic	4586
GCA_024644535.1_ASM2464453v1_genomic	2357
GCA_028282105.1_ASM2828210v1_genomic	1750
GCA_024686215.1_ASM2468621v1_genomic	482
GCA_902705825.1_Halioglobus_sp._strain_BC5_1_genomic	5424
GCA_024742415.1_ASM2474241v1_genomic	1510
GCA_000153125.2_ASM15312v2_genomic	5961
GCA_026230195.1_ASM2623019v1_genomic	3866
GCA_002377985.1_ASM237798v1_genomic	3748
GCA_026262625.1_ASM2626262v1_genomic	5974
GCA_008064635.1_ASM806463v1_genomic	3178
GCA_026262685.1_ASM2626268v1_genomic	3121
GCA_015222725.1_ASM1522272v1_genomic	328
GCA_027295405.1_ASM2729540v1_genomic	3553
GCA_028117185.1_ASM2811718v1_genomic	2609
GCA_028277365.1_ASM2827736v1_genomic	1303
