Genome	TARA_084-QUALITY_PASSED_R1.fastq.gz Read Count
GCA_028280635.1_ASM2828063v1_genomic	2503
GCA_902547755.1_AG-901-J11_genomic	7596
GCA_000227505.4_ASM22750v4_genomic	14205
GCA_902522335.1_AG-895-A22_genomic	2716
GCA_000158175.1_ASM15817v1_genomic	10240
GCA_018666055.1_ASM1866605v1_genomic	9013
GCA_030426545.1_ASM3042654v1_genomic	1315
GCA_029287595.1_ASM2928759v1_genomic	5872
GCA_016778085.1_ASM1677808v1_genomic	2422
GCA_029246385.1_ASM2924638v1_genomic	11474
GCA_003331685.1_ASM333168v1_genomic	389
GCA_029253085.1_ASM2925308v1_genomic	4281
GCA_902518075.1_AG-894-B10_genomic	4548
GCA_029253705.1_ASM2925370v1_genomic	2555
GCA_902623175.1_AH-287-B15_genomic	9315
GCA_024224435.1_ASM2422443v1_genomic	22775
GCA_905480565.1_3_20180529_Bin_20180529_Bin_221_1_genomic	7273
GCA_002414665.1_ASM241466v1_genomic	2453
GCA_018666295.1_ASM1866629v1_genomic	4016
GCA_029859085.1_ASM2985908v1_genomic	3863
GCA_002705465.1_ASM270546v1_genomic	5501
GCA_029242325.1_ASM2924232v1_genomic	5389
GCA_029961695.1_dmAriCali1.0.hap2_genomic	849822
GCA_002389505.1_ASM238950v1_genomic	10813
GCA_028823475.1_ASM2882347v1_genomic	120041
GCA_947258585.1_ERZ12284426_genomic	7340
GCA_029247075.1_ASM2924707v1_genomic	9031
GCA_030427485.1_ASM3042748v1_genomic	4737
GCA_000423125.1_ASM42312v1_genomic	14750
GCA_030428835.1_ASM3042883v1_genomic	2561
GCA_030431585.1_ASM3043158v1_genomic	4194
GCA_002683395.1_ASM268339v1_genomic	4335
GCA_030433415.1_ASM3043341v1_genomic	31072
GCA_002862985.1_ASM286298v1_genomic	6268
GCA_030591305.1_ASM3059130v1_genomic	4420
GCA_016779445.1_ASM1677944v1_genomic	1886
GCA_030649675.1_ASM3064967v1_genomic	9467
GCA_016778045.1_ASM1677804v1_genomic	1353
GCA_030730585.1_ASM3073058v1_genomic	1209
GCA_008370495.1_ASM837049v1_genomic	4985
GCA_035582765.1_UCONN_Acne_2_genomic	1070252
GCA_002428935.1_ASM242893v1_genomic	3247
GCA_018657645.1_ASM1865764v1_genomic	3183
GCA_002699145.1_ASM269914v1_genomic	5559
GCA_902519405.1_AG-333-E20_genomic	14065
GCA_002456975.1_ASM245697v1_genomic	4941
GCA_902520195.1_AG-894-J17_genomic	4630
GCA_002692965.1_ASM269296v1_genomic	8957
GCA_902631395.1_AH-326-F22_genomic	11312
GCA_002691565.1_ASM269156v1_genomic	766
GCA_905478845.1_0.2_20180511_Bin_174_1_genomic	4472
GCA_002721785.1_ASM272178v1_genomic	2944
GCA_905479205.1_0.2_20180524_Bin_119_sub_1_genomic	4394
GCA_002748505.1_ASM274850v1_genomic	2901
GCA_913031575.1_ERR598978_bin.4_MetaBAT_v2.12.1_MAG_genomic	1001
GCA_002862465.1_ASM286246v1_genomic	6607
GCA_938091425.1_S4_Bin_Bin_207_sub_1_genomic	8763
GCA_030427085.1_ASM3042708v1_genomic	41930
GCA_938091995.1_S4_Bin_METABAT_131_1_genomic	6063
GCA_002866825.1_ASM286682v1_genomic	9144
GCA_913048495.1_ERR599053_bin.87_MetaBAT_v2.12.1_MAG_genomic	10347
GCA_002868715.1_ASM286871v1_genomic	8289
GCA_913056165.1_SRR4030075_bin.37_MetaBAT_v2.12.1_MAG_genomic	1710
GCA_003402235.1_ASM340223v1_genomic	10614
GCA_913057135.1_SRR4030062_bin.3_MetaBAT_v2.12.1_MAG_genomic	37941
GCA_003646405.1_ASM364640v1_genomic	9667
GCA_913064725.1_ERR2098371_bin.22_MetaBAT_v2.12.1_MAG_genomic	5848
GCA_003646415.1_ASM364641v1_genomic	7121
GCA_009388985.1_ASM938898v1_genomic	8665
GCA_913062625.1_SRR5620817_bin.66_MetaBAT_v2.12.1_MAG_genomic	152436
GCA_009937575.1_ASM993757v1_genomic	2313
GCA_913063005.1_ERR771004_bin.4_MetaBAT_v2.12.1_MAG_genomic	85146
GCA_010669285.1_ASM1066928v1_genomic	13648
GCA_938045215.1_N2_Bin_Bin_145_1_genomic	1823
GCA_012270045.1_ASM1227004v1_genomic	684
GCA_938074045.1_S2_Bin_METABAT_101_1_genomic	11623
GCA_013214285.1_ASM1321428v1_genomic	6378
GCA_938074135.1_S3_Bin_MAXBIN_098_sub_1_genomic	854
GCA_013911345.1_ASM1391134v1_genomic	501
GCA_938084055.1_S3_Bin_MAXBIN_084_1_genomic	1184
GCA_016704305.1_ASM1670430v1_genomic	17780
GCA_938085095.1_S3_Bin_Bin_3_sub_1_genomic	1107
GCA_016744355.1_ASM1674435v1_genomic	10266
GCA_938091485.1_S4_Bin_METABAT_204_1_genomic	259
GCA_017255185.1_ASM1725518v1_genomic	7209
GCA_943787385.1_05052020-pm_METABAT_10_genomic	11148
GCA_020443325.1_ASM2044332v1_genomic	1182
GCA_943787485.1_05052020-am_METABAT_80_genomic	11424
GCA_020443345.1_ASM2044334v1_genomic	1117
GCA_030427335.1_ASM3042733v1_genomic	24852
GCA_030066555.1_ASM3006655v1_genomic	2863
GCA_000158155.1_ASM15815v1_genomic	18701
GCA_020443425.1_ASM2044342v1_genomic	5058
GCA_000169115.1_ASM16911v1_genomic	17804
GCA_022425845.1_ASM2242584v1_genomic	2905
GCA_001983995.1_ASM198399v1_genomic	15878
GCA_023253715.1_ASM2325371v1_genomic	14285
GCA_000764025.1_ASM76402v1_genomic	16949
GCA_024234675.1_ASM2423467v1_genomic	5139
GCA_003457605.1_ASM345760v1_genomic	7884
GCA_024234735.1_ASM2423473v1_genomic	7840
GCA_003520285.1_ASM352028v1_genomic	11564
GCA_024234815.1_ASM2423481v1_genomic	12309
GCA_004340525.1_ASM434052v1_genomic	7430
GCA_024234855.1_ASM2423485v1_genomic	7421
GCA_004354085.1_ASM435408v1_genomic	5681
GCA_024640505.1_ASM2464050v1_genomic	1378
GCA_004745945.1_ASM474594v1_genomic	9056
GCA_024642245.1_ASM2464224v1_genomic	2197
