Genome	TARA_082-QUALITY_PASSED_R1.fastq.gz Read Count
GCA_028280635.1_ASM2828063v1_genomic	2093
GCA_902547755.1_AG-901-J11_genomic	4440
GCA_000227505.4_ASM22750v4_genomic	7823
GCA_902522335.1_AG-895-A22_genomic	1768
GCA_000158175.1_ASM15817v1_genomic	5355
GCA_018666055.1_ASM1866605v1_genomic	19966
GCA_030426545.1_ASM3042654v1_genomic	806
GCA_016778085.1_ASM1677808v1_genomic	1532
GCA_029287595.1_ASM2928759v1_genomic	2921
GCA_003331685.1_ASM333168v1_genomic	216
GCA_029246385.1_ASM2924638v1_genomic	27659
GCA_902518075.1_AG-894-B10_genomic	1975
GCA_029253085.1_ASM2925308v1_genomic	2013
GCA_029253705.1_ASM2925370v1_genomic	1814
GCA_029859085.1_ASM2985908v1_genomic	2783
GCA_029242325.1_ASM2924232v1_genomic	3814
GCA_002389505.1_ASM238950v1_genomic	8729
GCA_902623175.1_AH-287-B15_genomic	3876
GCA_024224435.1_ASM2422443v1_genomic	15849
GCA_905480565.1_3_20180529_Bin_20180529_Bin_221_1_genomic	4208
GCA_002414665.1_ASM241466v1_genomic	994
GCA_018666295.1_ASM1866629v1_genomic	1663
GCA_002705465.1_ASM270546v1_genomic	2271
GCA_029961695.1_dmAriCali1.0.hap2_genomic	379902
GCA_947258585.1_ERZ12284426_genomic	3597
GCA_028823475.1_ASM2882347v1_genomic	45565
GCA_030427485.1_ASM3042748v1_genomic	2860
GCA_029247075.1_ASM2924707v1_genomic	9479
GCA_030428835.1_ASM3042883v1_genomic	1557
GCA_000423125.1_ASM42312v1_genomic	5763
GCA_030431585.1_ASM3043158v1_genomic	1470
GCA_030433415.1_ASM3043341v1_genomic	19283
GCA_002683395.1_ASM268339v1_genomic	2217
GCA_030591305.1_ASM3059130v1_genomic	2406
GCA_002862985.1_ASM286298v1_genomic	7124
GCA_030649675.1_ASM3064967v1_genomic	4445
GCA_016779445.1_ASM1677944v1_genomic	917
GCA_030730585.1_ASM3073058v1_genomic	962
GCA_016778045.1_ASM1677804v1_genomic	815
GCA_035582765.1_UCONN_Acne_2_genomic	503283
GCA_008370495.1_ASM837049v1_genomic	2898
GCA_018657645.1_ASM1865764v1_genomic	2159
GCA_002428935.1_ASM242893v1_genomic	1448
GCA_902519405.1_AG-333-E20_genomic	6346
GCA_002699145.1_ASM269914v1_genomic	2767
GCA_902520195.1_AG-894-J17_genomic	2799
GCA_002456975.1_ASM245697v1_genomic	2061
GCA_902631395.1_AH-326-F22_genomic	7308
GCA_002692965.1_ASM269296v1_genomic	4213
GCA_905478845.1_0.2_20180511_Bin_174_1_genomic	11884
GCA_002691565.1_ASM269156v1_genomic	1547
GCA_905479205.1_0.2_20180524_Bin_119_sub_1_genomic	1922
GCA_002721785.1_ASM272178v1_genomic	1601
GCA_913031575.1_ERR598978_bin.4_MetaBAT_v2.12.1_MAG_genomic	732
GCA_002748505.1_ASM274850v1_genomic	2342
GCA_938091425.1_S4_Bin_Bin_207_sub_1_genomic	4526
GCA_002862465.1_ASM286246v1_genomic	15073
GCA_938091995.1_S4_Bin_METABAT_131_1_genomic	2805
GCA_030427085.1_ASM3042708v1_genomic	23392
GCA_913048495.1_ERR599053_bin.87_MetaBAT_v2.12.1_MAG_genomic	6653
GCA_002866825.1_ASM286682v1_genomic	3888
GCA_913056165.1_SRR4030075_bin.37_MetaBAT_v2.12.1_MAG_genomic	621
GCA_002868715.1_ASM286871v1_genomic	4140
GCA_913057135.1_SRR4030062_bin.3_MetaBAT_v2.12.1_MAG_genomic	24663
GCA_003402235.1_ASM340223v1_genomic	6055
GCA_913064725.1_ERR2098371_bin.22_MetaBAT_v2.12.1_MAG_genomic	3079
GCA_003646405.1_ASM364640v1_genomic	4309
GCA_913062625.1_SRR5620817_bin.66_MetaBAT_v2.12.1_MAG_genomic	67263
GCA_003646415.1_ASM364641v1_genomic	3379
GCA_913063005.1_ERR771004_bin.4_MetaBAT_v2.12.1_MAG_genomic	46462
GCA_009388985.1_ASM938898v1_genomic	5144
GCA_938045215.1_N2_Bin_Bin_145_1_genomic	1013
GCA_009937575.1_ASM993757v1_genomic	1558
GCA_938074045.1_S2_Bin_METABAT_101_1_genomic	5279
GCA_010669285.1_ASM1066928v1_genomic	7380
GCA_938074135.1_S3_Bin_MAXBIN_098_sub_1_genomic	601
GCA_012270045.1_ASM1227004v1_genomic	666
GCA_938084055.1_S3_Bin_MAXBIN_084_1_genomic	892
GCA_013214285.1_ASM1321428v1_genomic	3481
GCA_938085095.1_S3_Bin_Bin_3_sub_1_genomic	934
GCA_013911345.1_ASM1391134v1_genomic	658
GCA_938091485.1_S4_Bin_METABAT_204_1_genomic	298
GCA_016704305.1_ASM1670430v1_genomic	10248
GCA_943787385.1_05052020-pm_METABAT_10_genomic	6312
GCA_016744355.1_ASM1674435v1_genomic	6025
GCA_943787485.1_05052020-am_METABAT_80_genomic	7721
GCA_017255185.1_ASM1725518v1_genomic	4570
GCA_030427335.1_ASM3042733v1_genomic	13099
GCA_020443325.1_ASM2044332v1_genomic	1050
GCA_000158155.1_ASM15815v1_genomic	9908
GCA_020443345.1_ASM2044334v1_genomic	1029
GCA_000169115.1_ASM16911v1_genomic	11011
GCA_030066555.1_ASM3006655v1_genomic	2030
GCA_001983995.1_ASM198399v1_genomic	7011
GCA_020443425.1_ASM2044342v1_genomic	2192
