Genome	TARA_078-QUALITY_PASSED_R1.fastq.gz Read Count
GCA_902547755.1_AG-901-J11_genomic	10829
GCA_902522335.1_AG-895-A22_genomic	8813
GCA_018666055.1_ASM1866605v1_genomic	1518
GCA_028280635.1_ASM2828063v1_genomic	2687
GCA_016778085.1_ASM1677808v1_genomic	47878
GCA_000227505.4_ASM22750v4_genomic	6140
GCA_003331685.1_ASM333168v1_genomic	25570
GCA_000158175.1_ASM15817v1_genomic	5131
GCA_902518075.1_AG-894-B10_genomic	314242
GCA_030426545.1_ASM3042654v1_genomic	1215
GCA_902623175.1_AH-287-B15_genomic	258702
GCA_024224435.1_ASM2422443v1_genomic	20577
GCA_905480565.1_3_20180529_Bin_20180529_Bin_221_1_genomic	9148
GCA_002414665.1_ASM241466v1_genomic	2489
GCA_029287595.1_ASM2928759v1_genomic	2330
GCA_018666295.1_ASM1866629v1_genomic	1033
GCA_002705465.1_ASM270546v1_genomic	105814
GCA_029246385.1_ASM2924638v1_genomic	3080
GCA_029961695.1_dmAriCali1.0.hap2_genomic	401317
GCA_029253085.1_ASM2925308v1_genomic	1642
GCA_028823475.1_ASM2882347v1_genomic	711
GCA_029253705.1_ASM2925370v1_genomic	881
GCA_029247075.1_ASM2924707v1_genomic	12002
GCA_029859085.1_ASM2985908v1_genomic	3067
GCA_000423125.1_ASM42312v1_genomic	15728
GCA_029242325.1_ASM2924232v1_genomic	2616
GCA_002389505.1_ASM238950v1_genomic	1269
GCA_002683395.1_ASM268339v1_genomic	3069
GCA_947258585.1_ERZ12284426_genomic	4288
GCA_002862985.1_ASM286298v1_genomic	803
GCA_030427485.1_ASM3042748v1_genomic	2465
GCA_016779445.1_ASM1677944v1_genomic	2709
GCA_030428835.1_ASM3042883v1_genomic	3024
GCA_016778045.1_ASM1677804v1_genomic	15286
GCA_030431585.1_ASM3043158v1_genomic	2141
GCA_008370495.1_ASM837049v1_genomic	2944
GCA_030433415.1_ASM3043341v1_genomic	5886
GCA_002428935.1_ASM242893v1_genomic	1648
GCA_030591305.1_ASM3059130v1_genomic	1310
GCA_002699145.1_ASM269914v1_genomic	4584
GCA_030649675.1_ASM3064967v1_genomic	5703
GCA_002456975.1_ASM245697v1_genomic	1538
GCA_030730585.1_ASM3073058v1_genomic	1060
GCA_002692965.1_ASM269296v1_genomic	7289
GCA_035582765.1_UCONN_Acne_2_genomic	507012
GCA_002691565.1_ASM269156v1_genomic	4769
GCA_018657645.1_ASM1865764v1_genomic	1202
GCA_002721785.1_ASM272178v1_genomic	19245
GCA_902519405.1_AG-333-E20_genomic	22367
GCA_002748505.1_ASM274850v1_genomic	1290
GCA_902520195.1_AG-894-J17_genomic	276447
GCA_002862465.1_ASM286246v1_genomic	2223
GCA_902631395.1_AH-326-F22_genomic	33111
GCA_030427085.1_ASM3042708v1_genomic	20202
GCA_905478845.1_0.2_20180511_Bin_174_1_genomic	1803
GCA_002866825.1_ASM286682v1_genomic	3236
GCA_905479205.1_0.2_20180524_Bin_119_sub_1_genomic	2233
GCA_002868715.1_ASM286871v1_genomic	4194
GCA_913031575.1_ERR598978_bin.4_MetaBAT_v2.12.1_MAG_genomic	3351
GCA_003402235.1_ASM340223v1_genomic	8251
GCA_938091425.1_S4_Bin_Bin_207_sub_1_genomic	20488
GCA_938091995.1_S4_Bin_METABAT_131_1_genomic	3079
GCA_003646405.1_ASM364640v1_genomic	6026
