Genome	TARA_152-QUALITY_PASSED_R1.fastq.gz Read Count
GCA_000423125.1_ASM42312v1_genomic	10986
GCA_003719295.1_ASM371929v1_genomic	7833
GCA_002862405.1_ASM286240v1_genomic	3363
GCA_001635445.1_ASM163544v1_genomic	50030
GCA_002692965.1_ASM269296v1_genomic	6300
GCA_002696455.1_ASM269645v1_genomic	4799
GCA_902520195.1_AG-894-J17_genomic	10230
GCA_002390485.1_ASM239048v1_genomic	767
GCA_002346275.1_ASM234627v1_genomic	2156
GCA_002172195.2_ASM217219v2_genomic	1073
GCA_002167765.1_ASM216776v1_genomic	2384
GCA_002339205.1_ASM233920v1_genomic	11659
GCA_000156295.1_ASM15629v1_genomic	6957
GCA_001953075.1_ASM195307v1_genomic	8594
GCA_002171435.2_ASM217143v2_genomic	1708
GCA_002171595.1_ASM217159v1_genomic	3043
GCA_011522735.1_ASM1152273v1_genomic	2425
GCA_902623385.1_AH-287-C10_genomic	4940
GCA_002703585.1_ASM270358v1_genomic	1181
GCA_002683335.1_ASM268333v1_genomic	31482
GCA_002390055.1_ASM239005v1_genomic	1423
GCA_002723335.1_ASM272333v1_genomic	8833
GCA_002414665.1_ASM241466v1_genomic	1381
GCA_000204315.2_ASM20431v1_genomic	8062
GCA_013214775.1_ASM1321477v1_genomic	1564
GCA_002434985.1_ASM243498v1_genomic	1859
GCA_002683395.1_ASM268339v1_genomic	16543
GCA_003428685.1_ASM342868v1_genomic	7937
GCA_002862985.1_ASM286298v1_genomic	1532
GCA_013214285.1_ASM1321428v1_genomic	1766
GCA_002469785.1_ASM246978v1_genomic	683
GCA_002705465.1_ASM270546v1_genomic	4257
GCA_002428935.1_ASM242893v1_genomic	1381
GCA_002748505.1_ASM274850v1_genomic	654
GCA_000764025.1_ASM76402v1_genomic	10496
GCA_002377985.1_ASM237798v1_genomic	3970
GCA_002868715.1_ASM286871v1_genomic	5438
GCA_003331685.1_ASM333168v1_genomic	6164
GCA_003402235.1_ASM340223v1_genomic	10751
GCA_003646415.1_ASM364641v1_genomic	11518
GCA_003523185.1_ASM352318v1_genomic	4532
GCA_009886815.1_ASM988681v1_genomic	1229
GCA_009937065.1_ASM993706v1_genomic	2984
GCA_010669285.1_ASM1066928v1_genomic	7987
GCA_011523115.1_ASM1152311v1_genomic	4525
GCA_902623175.1_AH-287-B15_genomic	20508
GCA_000169115.1_ASM16911v1_genomic	14603
GCA_902705825.1_Halioglobus_sp._strain_BC5_1_genomic	9950
GCA_902547755.1_AG-901-J11_genomic	5237
GCA_002862465.1_ASM286246v1_genomic	2591
GCA_000158155.1_ASM15815v1_genomic	13171
GCA_013911345.1_ASM1391134v1_genomic	1553
GCA_014077625.1_ASM1407762v1_genomic	15054
GCA_902518075.1_AG-894-B10_genomic	10894
GCA_902519405.1_AG-333-E20_genomic	19809
GCA_000153125.2_ASM15312v2_genomic	11679
GCA_000227505.4_ASM22750v4_genomic	17802
GCA_003457605.1_ASM345760v1_genomic	6523
GCA_003646405.1_ASM364640v1_genomic	3378
GCA_004354085.1_ASM435408v1_genomic	3768
GCA_004745945.1_ASM474594v1_genomic	7011
GCA_008064635.1_ASM806463v1_genomic	6197
GCA_008064665.1_ASM806466v1_genomic	3999
GCA_008081075.1_ASM808107v1_genomic	729
GCA_008370495.1_ASM837049v1_genomic	4250
GCA_009388985.1_ASM938898v1_genomic	6534
GCA_009937575.1_ASM993757v1_genomic	867
GCA_000158175.1_ASM15817v1_genomic	6835
GCA_902613175.1_AG-891-G07_genomic	3254
