Genome	TARA_168-QUALITY_PASSED_R1.fastq.gz Read Count
GCA_000423125.1_ASM42312v1_genomic	8510
GCA_003719295.1_ASM371929v1_genomic	8812
GCA_002862405.1_ASM286240v1_genomic	3464
GCA_001635445.1_ASM163544v1_genomic	91316
GCA_002692965.1_ASM269296v1_genomic	2506
GCA_002696455.1_ASM269645v1_genomic	359
GCA_902520195.1_AG-894-J17_genomic	6215
GCA_002390485.1_ASM239048v1_genomic	1390
GCA_002346275.1_ASM234627v1_genomic	6841
GCA_002172195.2_ASM217219v2_genomic	494
GCA_002167765.1_ASM216776v1_genomic	1891
GCA_002339205.1_ASM233920v1_genomic	2269
GCA_000156295.1_ASM15629v1_genomic	15433
GCA_001953075.1_ASM195307v1_genomic	10363
GCA_002171435.2_ASM217143v2_genomic	2806
GCA_002171595.1_ASM217159v1_genomic	3589
GCA_011522735.1_ASM1152273v1_genomic	735
GCA_902623385.1_AH-287-C10_genomic	6052
GCA_002703585.1_ASM270358v1_genomic	857
GCA_002683335.1_ASM268333v1_genomic	1117
GCA_002390055.1_ASM239005v1_genomic	2688
GCA_002723335.1_ASM272333v1_genomic	1201
GCA_002414665.1_ASM241466v1_genomic	685
GCA_000204315.2_ASM20431v1_genomic	11369
GCA_013214775.1_ASM1321477v1_genomic	3014
GCA_002434985.1_ASM243498v1_genomic	2321
GCA_002683395.1_ASM268339v1_genomic	1302
GCA_003428685.1_ASM342868v1_genomic	6260
GCA_002862985.1_ASM286298v1_genomic	18223
GCA_013214285.1_ASM1321428v1_genomic	1709
GCA_002469785.1_ASM246978v1_genomic	1636
GCA_002705465.1_ASM270546v1_genomic	1560
GCA_002428935.1_ASM242893v1_genomic	1942
GCA_002748505.1_ASM274850v1_genomic	2112
GCA_000764025.1_ASM76402v1_genomic	9426
GCA_002377985.1_ASM237798v1_genomic	3517
GCA_002868715.1_ASM286871v1_genomic	6903
GCA_003331685.1_ASM333168v1_genomic	372
GCA_003402235.1_ASM340223v1_genomic	7807
GCA_003646415.1_ASM364641v1_genomic	8275
GCA_003523185.1_ASM352318v1_genomic	5007
GCA_009886815.1_ASM988681v1_genomic	11384
GCA_009937065.1_ASM993706v1_genomic	2188
GCA_010669285.1_ASM1066928v1_genomic	10966
GCA_011523115.1_ASM1152311v1_genomic	729
GCA_902623175.1_AH-287-B15_genomic	6613
GCA_000169115.1_ASM16911v1_genomic	19415
GCA_902705825.1_Halioglobus_sp._strain_BC5_1_genomic	21670
GCA_902547755.1_AG-901-J11_genomic	5132
GCA_002862465.1_ASM286246v1_genomic	23507
GCA_000158155.1_ASM15815v1_genomic	20742
GCA_013911345.1_ASM1391134v1_genomic	319
GCA_014077625.1_ASM1407762v1_genomic	26775
GCA_902518075.1_AG-894-B10_genomic	3321
GCA_902519405.1_AG-333-E20_genomic	12649
GCA_000153125.2_ASM15312v2_genomic	15725
GCA_000227505.4_ASM22750v4_genomic	12475
GCA_003457605.1_ASM345760v1_genomic	7832
GCA_003646405.1_ASM364640v1_genomic	4631
GCA_004354085.1_ASM435408v1_genomic	4857
GCA_004745945.1_ASM474594v1_genomic	4937
GCA_008064635.1_ASM806463v1_genomic	3662
GCA_008064665.1_ASM806466v1_genomic	4275
GCA_008081075.1_ASM808107v1_genomic	793
GCA_008370495.1_ASM837049v1_genomic	5354
GCA_009388985.1_ASM938898v1_genomic	9129
GCA_009937575.1_ASM993757v1_genomic	1373
GCA_000158175.1_ASM15817v1_genomic	8357
GCA_902613175.1_AG-891-G07_genomic	4781
