Genome	TARA_032-QUALITY_PASSED_R1.fastq.gz Read Count
GCA_028280635.1_ASM2828063v1_genomic	1646
GCA_902547755.1_AG-901-J11_genomic	20350
GCA_000227505.4_ASM22750v4_genomic	4027
GCA_902522335.1_AG-895-A22_genomic	30424
GCA_000158175.1_ASM15817v1_genomic	3555
GCA_030426545.1_ASM3042654v1_genomic	680
GCA_029287595.1_ASM2928759v1_genomic	1375
GCA_018666055.1_ASM1866605v1_genomic	526
GCA_029246385.1_ASM2924638v1_genomic	2500
GCA_029253085.1_ASM2925308v1_genomic	878
GCA_029253705.1_ASM2925370v1_genomic	404
GCA_029859085.1_ASM2985908v1_genomic	1736
GCA_029242325.1_ASM2924232v1_genomic	1191
GCA_002389505.1_ASM238950v1_genomic	1227
GCA_947258585.1_ERZ12284426_genomic	2464
GCA_030427485.1_ASM3042748v1_genomic	1420
GCA_030428835.1_ASM3042883v1_genomic	1449
GCA_016778085.1_ASM1677808v1_genomic	14101
GCA_030431585.1_ASM3043158v1_genomic	916
GCA_030433415.1_ASM3043341v1_genomic	3129
GCA_003331685.1_ASM333168v1_genomic	7685
GCA_902518075.1_AG-894-B10_genomic	52107
GCA_030591305.1_ASM3059130v1_genomic	595
GCA_902623175.1_AH-287-B15_genomic	48739
GCA_024224435.1_ASM2422443v1_genomic	20729
GCA_905480565.1_3_20180529_Bin_20180529_Bin_221_1_genomic	4387
GCA_002414665.1_ASM241466v1_genomic	869
GCA_018666295.1_ASM1866629v1_genomic	593
GCA_002705465.1_ASM270546v1_genomic	68612
GCA_029961695.1_dmAriCali1.0.hap2_genomic	211468
GCA_030649675.1_ASM3064967v1_genomic	3356
GCA_030730585.1_ASM3073058v1_genomic	519
GCA_035582765.1_UCONN_Acne_2_genomic	273089
GCA_028823475.1_ASM2882347v1_genomic	422
GCA_018657645.1_ASM1865764v1_genomic	676
GCA_029247075.1_ASM2924707v1_genomic	11909
GCA_902519405.1_AG-333-E20_genomic	14116
GCA_000423125.1_ASM42312v1_genomic	5115
GCA_902520195.1_AG-894-J17_genomic	189044
GCA_002683395.1_ASM268339v1_genomic	1441
GCA_902631395.1_AH-326-F22_genomic	15431
GCA_002862985.1_ASM286298v1_genomic	482
GCA_905478845.1_0.2_20180511_Bin_174_1_genomic	809
GCA_016779445.1_ASM1677944v1_genomic	2494
GCA_905479205.1_0.2_20180524_Bin_119_sub_1_genomic	1442
GCA_016778045.1_ASM1677804v1_genomic	8590
GCA_913031575.1_ERR598978_bin.4_MetaBAT_v2.12.1_MAG_genomic	5290
GCA_008370495.1_ASM837049v1_genomic	1848
GCA_938091425.1_S4_Bin_Bin_207_sub_1_genomic	7225
GCA_002428935.1_ASM242893v1_genomic	976
GCA_938091995.1_S4_Bin_METABAT_131_1_genomic	1567
GCA_002699145.1_ASM269914v1_genomic	1745
GCA_913048495.1_ERR599053_bin.87_MetaBAT_v2.12.1_MAG_genomic	10799
GCA_002456975.1_ASM245697v1_genomic	1460
GCA_913056165.1_SRR4030075_bin.37_MetaBAT_v2.12.1_MAG_genomic	901
GCA_913057135.1_SRR4030062_bin.3_MetaBAT_v2.12.1_MAG_genomic	28807
GCA_002692965.1_ASM269296v1_genomic	3227
GCA_913064725.1_ERR2098371_bin.22_MetaBAT_v2.12.1_MAG_genomic	1631
GCA_002691565.1_ASM269156v1_genomic	2776
GCA_913062625.1_SRR5620817_bin.66_MetaBAT_v2.12.1_MAG_genomic	1014
GCA_002721785.1_ASM272178v1_genomic	38429
GCA_913063005.1_ERR771004_bin.4_MetaBAT_v2.12.1_MAG_genomic	25911
